情感分析结果,评价倾向,商品评论
0.9999801262032031,喜欢,外形外观：外形外观：背面玻璃，颜色很好看，有种鸡尾酒的感觉，外观可以给9分。
0.898916341008001,喜欢,屏幕音效：屏幕素质很好，色彩还原度高，144刷新率真的观感很好，流畅！
0.9351075877721053,喜欢,拍照效果：拍照清晰，男生用，绝对够用了，还有美颜效果，还原度高。
0.9996499986557833,喜欢,运行速度：骁龙865，这在安卓阵营，绝对旗舰处理器，跑分60万，日常，游戏都很不错！
0.9395958460149411,喜欢,待机时间：重度使用，一天一冲，长时间游戏可能要多充一次，但有44w的快充，一个小时左右就可以充满，试用2天的感受
0.9999986930023065,喜欢,其他特色：nfc，坐车支付都很方便，加上44手机整体不错，性价比高，真香机型，本人喜欢研究配置，这个手机相当不错！
0.9968476604980052,喜欢,外形外观：非常舒服，好看，
0.9417097008745339,喜欢,屏幕音效：音效非常给力！大！
0.9957318836226203,喜欢,拍照效果：拍照很惊艳！很不错！
0.9933586811066403,喜欢,运行速度：运行很快，吃鸡王者没问题！
0.39785128515796964,不喜欢,待机时间：满满一天没问题！
0.5729960069518922,一般,其他特色：香！香就完事！
0.005233937392032928,不喜欢,2549的价格！买来了骁龙865！买来了144HZ刷新率！买来了UFS3.1！买来了耳机孔！买来了24期免息，每个月仅100多！买来了5G！买来了44W快充！买来了双扬声器！买来了WiFi6！买来了HIFI！买来了NFC！
0.8227716822175286,喜欢,香香香！香爆了！
0.22060320474379147,不喜欢,手机流畅如丝，单挖空真好看，还送了耳机！送了30天深度体验服务！京东物流快！手机也好评！总之嗨皮就完事！！！
0.0027299170318854094,不喜欢,用了.伍-佰的内部-棬，领区.方法看追加里说。目前性价比最高的骁龙865旗舰，特别适合对游戏性能有高要求的用户，3000 档旗舰，买他。iQOO Neo3的后置主摄是三星GM1，这种东西参数党看着没感觉，但实用党用着还不错，实拍样张的色彩和动态范围都挺好。现在的手机拍照绝对不能只看CMOS型号，厂商调教非常非常关键，这个还是出厂版本的系统，后期固件更新还会再优化相机，现在2000多块钱的手机在拍照方面已经可以好看又好用了iQOO Neo3这块屏幕真的可以了，拖影问题基本解决，以后其他厂商再上LCD高刷新率屏幕，按照这个标准来就行了。刚刚开售就破亿了，骁龙865、双模5G全网通、UFS3.1、44W快充、4500mAh电池、双扬声器、独立HiFi、144Hz超高刷新率，仅2698元起，还有24期免息～超香有木有？难怪开售就马上破亿了，2698 买到骁龙 865 旗舰，还送双模 5G，送 UFS3.1，送立体声双扬声器。随手就送一个 44W 超级快充，相比很多中杯旗舰，简直厚道到家，4500mAh 大电池，25 分钟充电 50% ，充满 100% 约 1 小时，总知性价比賊高，值得一买。
0.007880877290601496,不喜欢,LCD 屏幕，再也不纠结什么钻石、小黄鸭排列，在标准 RGB 面前都是弟弟。
0.9068894734239328,喜欢,144Hz 高刷新率直观体验比其他 90Hz 旗舰更流畅，拖影并不明显。
